FID,COUNT,AREA,SUM,PERCENTAGE
446,373317,0.011740118,7,1.87508E-05
447,326853,0.010278912,0,0
448,496285,0.01560723,0,0
449,601041,0.01890161,0,0
450,1187543,0.037345995,0,0
451,1528364,0.048064175,0,0
452,59011,0.001855785,0,0
453,1148945,0.036132161,0,0
454,691705,0.021752822,0,0
455,1314026,0.041323648,0,0
456,10152,0.000319261,5,0.000492514
457,6556123,0.206177745,36049,0.005498524
458,3128163,0.098374847,74891,0.023940888
459,10249,0.000322312,0,0
460,22775,0.000716231,0,0
461,7356,0.000231332,0,0
462,205066,0.00644894,0,0
463,142850,0.004492364,0,0
464,152171,0.004785492,0,0
465,527284,0.016582091,0,0
466,870972,0.027390432,0,0
467,118558,0.003728426,0,0
468,138936,0.004369276,0,0
469,1091001,0.034309931,0,0
470,788178,0.024786717,0,0
471,485309,0.015262056,0,0
472,894484,0.028129841,0,0
473,43810,0.001377742,0,0
474,965839,0.030373821,1331,0.001378076
475,448300,0.014098192,0,0
476,395643,0.012442229,0,0
477,33803,0.001063041,0,0
478,316473,0.009952481,0,0
479,178631,0.005617609,0,0
480,604740,0.019017936,0,0
481,329364,0.010357879,0,0
482,33243,0.00104543,0,0
483,44868,0.001411014,0,0
484,629235,0.019788258,0,0
485,18369,0.000577671,0,0
486,42615,0.001340162,0,0
487,498247,0.015668932,0,0
488,484111,0.015224381,545,0.001125775
489,66053,0.002077243,0,0
490,20662,0.000649781,0,0
491,1095795,0.034460693,70,6.38806E-05
492,1590886,0.050030374,357,0.000224403
493,612899,0.019274522,0,0
494,537965,0.016917988,4786,0.00889649
495,21736,0.000683556,0,0
496,777771,0.024459436,0,0
497,637963,0.020062737,0,0
498,422672,0.01329224,566,0.0013391
499,644386,0.020264729,11662,0.018097848
500,417393,0.013126225,187,0.000448019
501,244729,0.007696267,18781,0.076742029
502,263455,0.008285165,0,0
503,331106,0.010412661,3078,0.009296117
504,1058809,0.033297553,5245,0.004953679
505,254685,0.008009365,94,0.000369083
506,265678,0.008355074,334,0.001257161
507,828437,0.026052787,5126,0.006187556
508,704756,0.022163252,9530,0.013522411
509,640801,0.020151987,1690,0.002637324
510,678821,0.021347645,0,0
511,13911,0.000437475,0,0
512,53134,0.001670964,0,0
513,4288,0.00013485,0,0
514,9506,0.000298946,0,0
515,2977,9.36211E-05,0,0
516,252593,0.007943575,0,0
517,222009,0.006981766,0,0
518,394849,0.012417259,0,0
519,504828,0.015875892,0,0
520,155040,0.004875717,0,0
521,33970,0.001068293,0,0
522,39017,0.001227011,0,0
523,72919,0.002293165,0,0
524,4278374,0.134546821,1192,0.000278611
525,4301491,0.135273807,2051,0.000476811
