system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2020-01_000000000000000001f2,0.4770942402331561,2.3326434663084563,499,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001f3,0.3501026647933131,1.4976519028930726,500,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000092,0.4007416207732941,1.8913643684331627,147,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000093,0.385832443826351,1.825939660556086,148,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000094,0.4935604680341829,1.3486954676113838,149,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000095,12.794139445242465,1.5439943260044222,150,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000096,0.4080759456130651,1.931952934453164,151,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000097,0.4369223815810217,2.0001209043646475,152,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000098,0.3213082667976871,1.3469279661016949,153,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a9,0.3120496105109039,1.403405507672903,170,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000017c,61.708393778492415,2.7961065933329707,381,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000017d,38.80756931366712,2.3219436088417758,382,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000017e,11.55932546548954,2.4320184689996505,383,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001ee,0.3719188515719148,1.7765576233961389,495,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000020d,0.4777130578437166,2.23230809905702,526,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000020e,3.5718845283596536,1.6193441627745304,527,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000020f,0.3396119780771075,1.4975676810572265,528,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000210,0.3333350707333323,1.3825540492470654,529,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000211,11.696297189319928,1.810696836203443,530,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000058,0.4376650771986403,2.0808076171332344,89,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000059,0.3965016768581441,1.8464454534870172,90,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000018b,0.4184134092041064,2.0,396,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000018c,0.4094323913084485,1.9511231809549157,397,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000018d,0.3721195071931529,1.6993347629588622,398,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000018e,0.4029223186329073,1.8627365962514597,399,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000036,0.4142666560940237,1.850951733514616,55,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000db,0.357055213833432,1.5574094926126851,220,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000dc,0.4017349405092672,1.85307623638636,221,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000dd,0.3809129479722108,1.76556255503624,222,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000102,0.4134844919703128,1.938423951302331,259,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000103,0.4234630166979632,1.9322838077993492,260,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000104,0.3703888457468407,1.6252333001364772,261,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000105,0.3196194510432477,1.318305084745763,262,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000000a,0.5142135683577593,2.717209174563933,11,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b1,0.417338762242655,1.936095261136124,178,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b2,0.4534986163404521,2.1898200698430967,179,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b3,0.3591158193299056,1.55016792611251,180,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000ca,0.3465117243548396,1.4397811645173892,203,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000d2,0.438880745000077,2.0906639991216616,211,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000d3,0.4102395095444336,1.91759545712832,212,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000d4,0.4147341455234821,1.9458514795216773,213,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000d5,0.5190079117227723,2.618639276610005,214,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000bc,0.3878726064828394,1.7623063083167128,189,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000bd,0.37938077710093,1.715429879678627,190,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000be,0.4343565569119906,2.091419876772634,191,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000f1,0.4059404754652185,1.8141723356009063,242,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000100,0.3065279482853676,1.261139342921696,257,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000101,0.4127218794800136,1.9170587756088115,258,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000012f,0.3926729919683638,1.835466472400633,304,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000130,0.3944184034199805,1.812061447473936,305,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000131,0.3918204197971638,1.7883225443211537,306,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000065,0.4637886693566777,2.2539843250501868,102,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000066,0.4925864426198585,2.478396872788777,103,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000067,0.3628713607016394,1.6674355566507653,104,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000068,0.4059788468141603,1.8987761865738204,105,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000109,0.3197147503934051,1.2193205454125255,266,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001c1,0.3764251798642306,1.6747592869172838,450,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001c2,0.3496817748520074,1.4766035133003983,451,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000113,0.3457572857074648,1.329026937877955,276,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000114,0.4306296361480849,2.1416358364163584,277,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000115,0.4125191795921932,1.9617317107647236,278,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000116,0.3989039662556197,1.889003595985142,279,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000117,0.3862012165548988,1.795362708753709,280,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000167,0.3580218316839895,1.5560701290109162,360,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
