fid,2021-01_vhi,2021-02_vhi,2021-03_vhi,2021-04_vhi,2021-05_vhi,2021-06_vhi,2021-07_vhi,2021-08_vhi,2021-09_vhi,2021-10_vhi,2021-11_vhi,2021-12_vhi,2022-01_vhi,2022-02_vhi,2022-03_vhi,2022-04_vhi,2022-05_vhi,2022-06_vhi,2022-07_vhi,2022-08_vhi,2022-09_vhi,2022-10_vhi,2022-11_vhi,2022-12_vhi,2023-01_vhi,2023-02_vhi,2023-03_vhi,2023-04_vhi,2023-05_vhi,2023-06_vhi,2023-07_vhi,2023-08_vhi,2023-09_vhi,2023-10_vhi,2023-11_vhi,2023-12_vhi,2024-01_vhi,2024-02_vhi,2024-03_vhi,2024-04_vhi,2024-05_vhi,2024-06_vhi,2024-07_vhi,2024-08_vhi,2024-09_vhi,2024-10_vhi,2024-11_vhi,2024-12_vhi
33,0.479466542,0.449177416,0.607658367,0.688475177,0.558977704,0.699651798,0.47668123,0.505180272,0.398527193,0.791472049,0.60292085,0.36722023,0.406201475,0.555576486,0.610985864,0.555147075,0.584133295,1.038835553,0.792873922,0.609692133,0.621710944,0.677104027,0.607730923,0.380328182,0.511539278,0.571648354,0.59144248,0.710035203,20.95383022,0.856591935,0.56451094,0.564665632,0.72382579,0.746150004,0.509594626,0.243355721,0.339014271,0.365790147,0.496887767,0.604797169,0.563244403,0.533387423,0.551142947,0.407839355,0.589544568,0.775971327,0.577135673,0.515025362
34,0.361845824,0.39588582,0.547319002,0.604609187,0.604595069,0.669822831,0.504751476,0.382992745,0.390525628,0.760187051,0.538946826,0.30343232,0.329820119,0.530695795,0.548262678,0.527559044,0.662218505,1.002037639,0.76492782,0.605160556,0.690466007,0.700356988,0.533494836,0.277707422,0.436863209,0.542637307,0.507149789,0.622367454,102.4686481,0.824540702,0.573950802,0.508531338,0.713498652,0.744071952,0.497383074,0.240421283,0.301048268,0.359597891,0.434673888,0.59524835,0.642028202,0.472559013,0.399003539,0.300757078,0.495016447,0.776857359,0.535959074,0.481494131
35,0.468442594,0.523334474,0.688435186,0.707793985,0.771415521,0.711027946,0.520672146,0.433103527,0.377356618,0.736696147,0.590913769,0.41393291,0.473642312,0.573284343,0.726242045,0.624979252,0.645262527,0.969905195,0.875888878,6.150976082,0.816925966,0.831030186,0.704774632,0.522152617,0.63179293,0.64773091,0.651615818,1.414766265,6.457175548,0.867489682,0.680382084,0.621201902,0.774886092,0.813515615,0.388123613,0.317003395,0.370322515,0.345849581,0.564756996,0.536435327,0.665297541,0.587936503,0.476480385,0.293401591,0.826217172,0.772408056,0.674310586,0.557445749
36,0.360487575,0.49723788,0.625422319,0.622509273,0.705492952,0.751305233,0.44374078,0.36406679,0.415880685,0.778123549,0.583207227,0.392258034,0.415586718,0.527611273,0.716807517,0.607828254,0.572220255,0.953722346,0.742069792,0.799243755,0.781604417,0.766319718,0.560438841,0.420425817,0.492401457,0.543883821,0.608146571,0.658886375,1.235866458,0.88667984,0.529010452,0.472665541,0.766730475,0.665868898,0.351691999,0.28986942,0.257058566,0.299830393,0.523743636,0.459698519,0.534923913,0.542099663,0.464393856,0.460017219,0.82986311,0.696090367,0.654496982,0.559738133
37,0.383740591,0.501698348,0.66303962,0.64673735,0.733173294,0.710352595,0.513936942,0.402019937,0.432642539,0.767166239,0.566505301,0.363858328,0.423144945,0.532368869,0.731597074,0.583608015,0.600552999,0.949215747,0.773269343,5.914607062,0.800436158,0.782094487,0.604819831,0.421085732,0.502784529,0.550646546,0.595615323,0.601813103,6.709505183,0.865759133,0.585611458,0.616612174,0.823803843,0.765243561,0.303345719,0.247236106,0.291816983,0.312671506,0.555046184,0.471690868,0.585486548,0.563473754,0.441207751,0.320086668,0.830778705,0.698165335,0.646555754,0.48486515
38,0.349684355,0.44858968,0.642072472,0.651867279,0.714303699,0.779378116,0.437171354,0.272582634,0.337316945,0.740841497,0.629425247,0.37260413,0.355414474,0.505791083,0.69785727,0.558119446,0.60179113,0.957182375,0.591791665,0.665962449,0.712453513,0.822286729,0.655040538,0.437955946,0.448769239,0.513597519,0.605045603,0.612129532,53.82236456,0.921045163,0.474646975,0.472873117,0.791617933,0.716589869,0.343129552,0.270798033,0.257440912,0.335675937,0.573860828,0.474747688,0.564925709,0.574033364,0.372255026,0.377751389,0.749616747,0.673225633,0.634034598,0.549257573
39,0.453425096,0.447951254,0.409778376,0.580347731,0.654998116,0.663174764,0.460299733,0.550306325,0.485136921,0.55211462,0.616668551,0.382244966,0.489227371,0.407399299,0.462654811,0.611621032,0.568311689,0.815725101,0.633909742,0.878662247,0.813258993,0.775703465,0.639017029,0.496270474,0.576206484,0.507707512,0.324706384,0.541029082,0.577404014,0.796651609,0.686375396,0.8039841,0.717633166,0.566571147,0.571352813,0.456767834,0.401153774,0.375183042,0.311122244,0.530927915,0.552494819,0.718472612,0.515422552,0.718138065,0.712871731,0.765463962,0.780456894,0.655619243
40,53.43043222,53.49724404,53.49556776,53.48717191,53.5790205,53.58811883,53.45357164,53.4563952,53.52640636,53.58029877,53.56642242,53.42058823,53.4791743,53.49005457,53.51800016,53.5331727,53.52424528,53.61102697,53.5041828,53.60106792,53.60128804,53.66087782,53.54138729,53.45083628,53.47625384,53.5600776,53.51302925,53.56488633,53.6548114,53.65286637,53.51569259,53.54966027,53.59986691,53.58658414,53.53734887,53.43555542,53.4159012,53.44484363,53.46422364,53.45463736,53.567505,53.61983444,53.503041,53.591586,53.64394592,53.65050237,53.61436988,53.49297177
41,0.396994154,0.443614333,0.466309817,0.572750749,0.610351514,0.564584614,0.562254866,0.436438325,0.389063986,0.714038757,0.6732415,0.464178052,0.424092574,0.551845016,0.536394135,0.535989765,0.561158332,0.778279771,0.573879919,0.600824904,0.621357501,0.619663848,0.609979649,0.446819581,0.414092192,0.500979731,0.535549871,0.520965011,94.22960383,0.696160993,0.724660702,0.516176137,0.567273097,0.622262497,0.535239803,0.38937056,0.349043287,0.448416344,0.39698234,0.476930972,0.452779187,0.333291939,0.640012277,0.588651869,0.737648768,0.745249693,0.578139123,0.53180269
42,0.447790061,0.480851357,0.52831065,0.633516618,0.637072892,0.588442375,0.515526192,0.428132432,0.422985335,0.783170215,0.664712277,0.56532416,0.477673551,0.566253165,0.593911462,0.613754409,0.610875136,0.836653764,0.583916553,0.733482791,0.72695379,0.701138985,0.577791462,0.478799362,0.483982559,0.517476366,0.579721231,0.651000632,116.2768312,0.554604173,0.608879868,0.503289886,0.637806737,0.673385556,0.539950387,0.476513725,0.394980786,0.482545136,0.430128811,0.521193576,0.523699682,0.375261487,0.502572433,0.69047904,0.740228795,0.80497473,0.552011089,0.549042166
