precip_max,NDVI,LST,month,season,year,fid,COMMUNE,DEPARTEMEN,REGION
70.69742584,0.26106875,38.24,9,Wet,2021,4,KANEL,KANEL,MATAM
61.6489563,0.21675,37.41,7,Wet,2021,4,KANEL,KANEL,MATAM
0,0.20485,37.48,12,Dry,2021,4,KANEL,KANEL,MATAM
8.326639175,0.216,42.20445351,10,Wet,2021,4,KANEL,KANEL,MATAM
0.237580895,0.209824749,42.1,11,Dry,2021,4,KANEL,KANEL,MATAM
84.87557983,0.21505,35.41,6,Wet,2022,4,KANEL,KANEL,MATAM
136.1040497,0.206575,37.01,7,Wet,2022,4,KANEL,KANEL,MATAM
151.3694,0.3824,31.27,9,Wet,2022,4,KANEL,KANEL,MATAM
0.287103802,0.2910875,36.28663185,11,Dry,2022,4,KANEL,KANEL,MATAM
27.44349861,0.37275587,35.59,10,Wet,2022,4,KANEL,KANEL,MATAM
28.08610535,0.1753,46.885,5,Dry,2022,4,KANEL,KANEL,MATAM
0,0.1835,41.9,3,Dry,2022,4,KANEL,KANEL,MATAM
205.6637573,0.404026667,35.45,8,Wet,2022,4,KANEL,KANEL,MATAM
0,0.17385,42.49,4,Dry,2022,4,KANEL,KANEL,MATAM
0.445299327,0.2401,36.07,12,Dry,2022,4,KANEL,KANEL,MATAM
0,0.195781796,36.44,2,Dry,2022,4,KANEL,KANEL,MATAM
0.046169076,0.20945564,36.05,1,Dry,2022,4,KANEL,KANEL,MATAM
99.09612274,0.28115,34.96,7,Wet,2023,4,KANEL,KANEL,MATAM
66.81324768,0.2066,40.89,6,Wet,2023,4,KANEL,KANEL,MATAM
8.340569496,0.187370063,45.19,5,Dry,2023,4,KANEL,KANEL,MATAM
0.111358486,0.1962,48.71,4,Dry,2023,4,KANEL,KANEL,MATAM
0.025820488,0.211572818,43.07,3,Dry,2023,4,KANEL,KANEL,MATAM
0.032375723,0.243500815,35.54,1,Dry,2023,4,KANEL,KANEL,MATAM
119.1491394,0.283785938,36.36,8,Wet,2023,4,KANEL,KANEL,MATAM
0.048768982,0.221175,36.23,2,Dry,2023,4,KANEL,KANEL,MATAM
84.68593597,0.318649257,35.21,9,Wet,2023,4,KANEL,KANEL,MATAM
12.23503876,0.2294,39.03,10,Wet,2023,4,KANEL,KANEL,MATAM
0.44724533,0.206475,35.42,12,Dry,2023,4,KANEL,KANEL,MATAM
0,0.203894132,39.14554649,11,Dry,2023,4,KANEL,KANEL,MATAM
119.8644867,0.25175,33.28,7,Wet,2024,4,KANEL,KANEL,MATAM
12.20525932,0.162725,35.96,6,Wet,2024,4,KANEL,KANEL,MATAM
0,0.174540813,42.41,5,Dry,2024,4,KANEL,KANEL,MATAM
116.8999023,0.286075,33.29,8,Wet,2024,4,KANEL,KANEL,MATAM
0,0.18183125,44.67,4,Dry,2024,4,KANEL,KANEL,MATAM
0.994404376,0.20795,31.65,12,Dry,2024,4,KANEL,KANEL,MATAM
137.140564,0.360683972,32.23,9,Wet,2024,4,KANEL,KANEL,MATAM
0,0.185918272,41.31,3,Dry,2024,4,KANEL,KANEL,MATAM
0.352209926,0.2079,36.87,11,Dry,2024,4,KANEL,KANEL,MATAM
23.54306602,0.267316667,35.09,10,Wet,2024,4,KANEL,KANEL,MATAM
0.048598185,0.204355233,37.4,2,Dry,2024,4,KANEL,KANEL,MATAM
0,0.20855,32.89,1,Dry,2024,4,KANEL,KANEL,MATAM
169.7448425,0.6316,32.73,10,Wet,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
176.2825928,0.588854434,31.62,7,Wet,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
4.026390076,0.5401,35.81,11,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.234237346,46.35,4,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
38.18878555,0.24715,41.33524961,5,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.2339,43.33941112,3,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
123.9924088,0.403440909,38.29,6,Wet,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.025207773,0.359177011,36.43,12,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.289798855,39.2,1,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.250575,40.9,2,Dry,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
264.2693787,0.66605,31.26805621,9,Wet,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
452.7455444,0.646180495,33.15,8,Wet,2021,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
203.6614685,0.4055,31.92249448,6,Wet,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
1.187353015,0.5017,34.72,11,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
202.4762115,0.603828067,31.09,7,Wet,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
251.7947235,0.655061392,30.67,9,Wet,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
50.74629593,0.27625,42.91,5,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.242666548,41.13,3,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
262.8926086,0.616448754,32.65,8,Wet,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.244937295,37.72,2,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
88.54867554,0.6005,31.73,10,Wet,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.356181502,0.250527174,44.71,4,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.325425,35.37,12,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.288346127,38.88,1,Dry,2022,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
335.0665283,0.495216667,31.84609467,7,Wet,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
63.1601181,0.257032027,41.79,5,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
169.7294617,0.37165,37.26431903,6,Wet,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.093836635,0.250339266,42.9,3,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.641062975,0.2527,46.25,4,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.16295135,0.4557,34.72,11,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.246690306,37.50618938,2,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
162.294693,0.6065,30.37,10,Wet,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
371.0314636,0.65315,29.69,9,Wet,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.295781868,37.61,1,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.015356827,0.33565,35.8600049,12,Dry,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
211.8293915,0.64555,27.67,8,Wet,2023,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
368.8259277,0.559638229,28.77,9,Wet,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
221.2715149,0.44225,28.03,7,Wet,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
213.9175568,0.586175,31.65,10,Wet,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
348.1149597,0.675179577,28.86,8,Wet,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.4533,33.91,11,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.268505573,0.34325,32.41,12,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.229325,41.27,4,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
41.09447861,0.24535,38.39,5,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.381828964,0.224304834,41.25,3,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0.045884326,0.2436,38.27,2,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.2727375,35.65,1,Dry,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
158.1863098,0.349066667,36.83961832,6,Wet,2024,5,KEDOUGOU,KEDOUGOU,KEDOUGOU
0,0.281672504,40.13423493,5,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.331116667,35.43,6,Wet,2021,6,KOLDA,KOLDA,KOLDA
0,0.272733333,44.43,4,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.2752,40.33,3,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.335772104,36.28,1,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.560689723,32.69,10,Wet,2021,6,KOLDA,KOLDA,KOLDA
0,0.4684,33.56,11,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.3078,36.49,2,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.544,33.19,8,Wet,2021,6,KOLDA,KOLDA,KOLDA
0,0.36685625,34.86,12,Dry,2021,6,KOLDA,KOLDA,KOLDA
0,0.47695,34.205,7,Wet,2021,6,KOLDA,KOLDA,KOLDA
0,0.584718841,31.15,9,Wet,2021,6,KOLDA,KOLDA,KOLDA
0,0.3765,36.78,6,Wet,2022,6,KOLDA,KOLDA,KOLDA
0,0.262084158,41.71,4,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.43095,28.67,7,Wet,2022,6,KOLDA,KOLDA,KOLDA
0,0.274114182,38.71,5,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.2703,39.93,3,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.497675,32.43,11,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.59215,31.83,10,Wet,2022,6,KOLDA,KOLDA,KOLDA
0,0.530383333,,8,Wet,2022,6,KOLDA,KOLDA,KOLDA
0,0.286426238,36.45,2,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.3906,33.58190797,12,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.5887,31.01,9,Wet,2022,6,KOLDA,KOLDA,KOLDA
0,0.32455,36.74,1,Dry,2022,6,KOLDA,KOLDA,KOLDA
0,0.407025,32.7,6,Wet,2023,6,KOLDA,KOLDA,KOLDA
0,0.286363608,41.79,5,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.286397809,43.39,4,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.28845,41.01,3,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.350239344,33.56,1,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.2893,35.73,2,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.53659769,33.21866511,7,Wet,2023,6,KOLDA,KOLDA,KOLDA
0,0.573104496,32.2,10,Wet,2023,6,KOLDA,KOLDA,KOLDA
0,0.550681806,24.39,8,Wet,2023,6,KOLDA,KOLDA,KOLDA
0,0.590424851,30.19,9,Wet,2023,6,KOLDA,KOLDA,KOLDA
0,0.48145,33,11,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.3423625,33.94,12,Dry,2023,6,KOLDA,KOLDA,KOLDA
0,0.280146843,38.69,5,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.252453303,39.89,4,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.6037,29.03,9,Wet,2024,6,KOLDA,KOLDA,KOLDA
0,0.303299212,34.44,6,Wet,2024,6,KOLDA,KOLDA,KOLDA
0,0.26875,40.6,3,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.4664,27.73,8,Wet,2024,6,KOLDA,KOLDA,KOLDA
0,0.36855,30.37,12,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.3763,,7,Wet,2024,6,KOLDA,KOLDA,KOLDA
0,0.540582014,30.76971014,10,Wet,2024,6,KOLDA,KOLDA,KOLDA
0,0.4563,32.15,11,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.282879523,36.56,2,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.291683333,34.29170404,1,Dry,2024,6,KOLDA,KOLDA,KOLDA
0,0.190566667,39.46,5,Dry,2021,7,LINGUERE,LINGUERE,LOUGA
0,0.197466667,41.8,3,Dry,2021,7,LINGUERE,LINGUERE,LOUGA
0,0.192583333,45.17,4,Dry,2021,7,LINGUERE,LINGUERE,LOUGA
0,0.3083,39.91,10,Wet,2021,7,LINGUERE,LINGUERE,LOUGA
0,0.227825,35.95,1,Dry,2021,7,LINGUERE,LINGUERE,LOUGA
