fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
362,KAOLACK,GUINGUINEO,NGUELOU,DARA MBOSS,NGUELOU,143169,89116,0.622,0,0,0.004,0,0,0,0.019,0.354
363,KAOLACK,GUINGUINEO,NGUELOU,GAGNICK,NGUELOU,90079,79974,0.888,0,0,0.007,0,0,0,0.01,0.095
364,KAOLACK,GUINGUINEO,NGUELOU,NGUELOU,NGUELOU,142199,125106,0.88,0,0,0.004,0,0,0,0.007,0.11
365,KAOLACK,GUINGUINEO,NGUELOU,OUROUR,NGUELOU,123122,102580,0.833,0,0,0.005,0,0,0.001,0.01,0.151
366,KAOLACK,GUINGUINEO,NGUELOU,PANAL OUOLOF,NGUELOU,121978,78634,0.645,0,0,0.005,0,0,0,0.008,0.342
367,ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,NIAGUIS,224228,122,0.001,0.02,0,0.01,0.144,0,0.747,0.036,0.043
368,ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,BOUTOUPA CAMARACOUNDA,NIAGUIS,333249,67,0,0.007,0,0.002,0.003,0,0.972,0.005,0.01
369,ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,NIAGUIS,NIAGUIS,185897,99,0.001,0.171,0,0.012,0.093,0.001,0.575,0.042,0.105
370,FATICK,FATICK,NIAKHAR,NGAYOKHEME,NIAKHAR,130047,122825,0.944,0,0,0.014,0,0,0.002,0.007,0.033
371,FATICK,FATICK,NIAKHAR,NIAKHAR,NIAKHAR,209057,175594,0.84,0.001,0.004,0.014,0,0,0,0.02,0.119
372,FATICK,FATICK,NIAKHAR,PATAR,NIAKHAR,136962,129997,0.949,0,0,0.013,0,0,0.001,0.007,0.03
373,THIES,TIVAOUANE,NIAKHENE,MBAYENE,NIAKHENE,195082,131166,0.672,0,0,0.006,0,0,0,0,0.321
374,THIES,TIVAOUANE,NIAKHENE,NGANDIOUF,NIAKHENE,358014,90887,0.254,0,0,0.011,0,0,0,0.001,0.714
375,THIES,TIVAOUANE,NIAKHENE,NIAKHENE,NIAKHENE,133918,123495,0.922,0,0,0.01,0,0,0,0.001,0.066
376,THIES,TIVAOUANE,NIAKHENE,THILMAKHA,NIAKHENE,214109,204423,0.955,0,0,0.006,0,0,0,0.002,0.034
377,KOLDA,MEDINA YORO FOULAH,NIAMING,DINGUIRAYE,NIAMING,352046,17012,0.048,0,0,0.004,0,0,0.224,0.547,0.176
378,KOLDA,MEDINA YORO FOULAH,NIAMING,KEREWANE,NIAMING,1081798,63408,0.059,0.002,0,0.002,0,0,0.385,0.469,0.083
379,KOLDA,MEDINA YORO FOULAH,NIAMING,NIAMING,NIAMING,293781,16278,0.055,0,0,0.004,0,0,0.361,0.421,0.158
380,KOLDA,MEDINA YORO FOULAH,NIAMING,PATA,NIAMING,21078,2081,0.099,0,0,0.022,0,0,0.109,0.568,0.202
381,FATICK,FOUNDIOUGNE,NIODIOR,BASSOUL,NIODIOR,341486,1042,0.003,0.596,0.003,0.003,0.248,0,0.033,0.018,0.096
382,FATICK,FOUNDIOUGNE,NIODIOR,DIONEWAR,NIODIOR,203924,3126,0.015,0.474,0.002,0.007,0.33,0,0.041,0.033,0.098
383,FATICK,FOUNDIOUGNE,NIODIOR,DJIRNDA,NIODIOR,327982,921,0.003,0.419,0.03,0.003,0.271,0,0.007,0.029,0.237
384,THIES,THIES,NOTTO,NOTTO,NOTTO,277076,141356,0.51,0,0,0.02,0,0,0.015,0.236,0.218
385,THIES,THIES,NOTTO,TASSETE,NOTTO,265531,179941,0.678,0,0,0.009,0,0,0.042,0.13,0.141
386,ZIGUINCHOR,ZIGUINCHOR,NIASSIA,ENAMPORE,NIASSIA,223872,312,0.001,0.352,0.001,0.001,0.187,0,0.244,0.036,0.176
387,ZIGUINCHOR,ZIGUINCHOR,NIASSIA,NIASSIA,NIASSIA,291071,81,0,0.065,0.006,0.001,0.048,0.001,0.648,0.024,0.207
388,MATAM,MATAM,OGO,BOKIDIAWE,OGO,707951,281,0,0.031,0.004,0.008,0,0.001,0.005,0.041,0.884
389,MATAM,MATAM,OGO,NABADJI CIVOL,OGO,905498,389,0,0.02,0.003,0.01,0,0,0.007,0.067,0.871
390,MATAM,MATAM,OGO,OGO,OGO,1471273,1612,0.001,0.029,0.004,0.004,0,0,0.01,0.086,0.843
391,MATAM,KANEL,ORKADIERE,DEMBANCANE,ORKADIERE,30659,65,0.002,0.057,0.003,0.027,0.001,0.006,0.008,0.145,0.742
