fid,AEZclass,AEZclassname
456,53,Desert/Arid climate
457,53,Desert/Arid climate
458,53,Desert/Arid climate
459,53,Desert/Arid climate
460,56,Dominantly built-up land
461,56,Dominantly built-up land
462,52,Dominantly hydromorphic soils
463,52,Dominantly hydromorphic soils
464,52,Dominantly hydromorphic soils
465,2,Tropics lowland; semi-arid with soil/terrain limitations
466,2,Tropics lowland; semi-arid with soil/terrain limitations
467,50,Land with severe soil/terrain limitations
468,50,Land with severe soil/terrain limitations
469,50,Land with severe soil/terrain limitations
470,50,Land with severe soil/terrain limitations
471,50,Land with severe soil/terrain limitations
472,50,Land with severe soil/terrain limitations
473,2,Tropics lowland; semi-arid with soil/terrain limitations
474,2,Tropics lowland; semi-arid with soil/terrain limitations
475,2,Tropics lowland; semi-arid with soil/terrain limitations
476,2,Tropics lowland; semi-arid with soil/terrain limitations
477,2,Tropics lowland; semi-arid with soil/terrain limitations
478,2,Tropics lowland; semi-arid with soil/terrain limitations
479,2,Tropics lowland; semi-arid with soil/terrain limitations
480,2,Tropics lowland; semi-arid with soil/terrain limitations
481,2,Tropics lowland; semi-arid with soil/terrain limitations
482,2,Tropics lowland; semi-arid with soil/terrain limitations
483,2,Tropics lowland; semi-arid with soil/terrain limitations
484,2,Tropics lowland; semi-arid with soil/terrain limitations
485,2,Tropics lowland; semi-arid with soil/terrain limitations
486,2,Tropics lowland; semi-arid with soil/terrain limitations
487,2,Tropics lowland; semi-arid with soil/terrain limitations
488,2,Tropics lowland; semi-arid with soil/terrain limitations
489,2,Tropics lowland; semi-arid with soil/terrain limitations
490,2,Tropics lowland; semi-arid with soil/terrain limitations
491,2,Tropics lowland; semi-arid with soil/terrain limitations
492,2,Tropics lowland; semi-arid with soil/terrain limitations
493,2,Tropics lowland; semi-arid with soil/terrain limitations
494,2,Tropics lowland; semi-arid with soil/terrain limitations
495,1,Tropics lowland; semi-arid no soil/terrain limitations
496,2,Tropics lowland; semi-arid with soil/terrain limitations
497,2,Tropics lowland; semi-arid with soil/terrain limitations
498,2,Tropics lowland; semi-arid with soil/terrain limitations
499,2,Tropics lowland; semi-arid with soil/terrain limitations
500,2,Tropics lowland; semi-arid with soil/terrain limitations
501,50,Land with severe soil/terrain limitations
502,2,Tropics lowland; semi-arid with soil/terrain limitations
503,2,Tropics lowland; semi-arid with soil/terrain limitations
504,50,Land with severe soil/terrain limitations
505,2,Tropics lowland; semi-arid with soil/terrain limitations
506,50,Land with severe soil/terrain limitations
507,2,Tropics lowland; semi-arid with soil/terrain limitations
508,2,Tropics lowland; semi-arid with soil/terrain limitations
509,2,Tropics lowland; semi-arid with soil/terrain limitations
510,2,Tropics lowland; semi-arid with soil/terrain limitations
511,56,Dominantly built-up land
512,56,Dominantly built-up land
513,56,Dominantly built-up land
514,56,Dominantly built-up land
515,56,Dominantly built-up land
516,2,Tropics lowland; semi-arid with soil/terrain limitations
517,2,Tropics lowland; semi-arid with soil/terrain limitations
518,2,Tropics lowland; semi-arid with soil/terrain limitations
519,2,Tropics lowland; semi-arid with soil/terrain limitations
520,2,Tropics lowland; semi-arid with soil/terrain limitations
521,56,Dominantly built-up land
522,56,Dominantly built-up land
523,52,Dominantly hydromorphic soils
524,53,Desert/Arid climate
525,53,Desert/Arid climate
526,2,Tropics lowland; semi-arid with soil/terrain limitations
527,2,Tropics lowland; semi-arid with soil/terrain limitations
528,2,Tropics lowland; semi-arid with soil/terrain limitations
529,2,Tropics lowland; semi-arid with soil/terrain limitations
530,2,Tropics lowland; semi-arid with soil/terrain limitations
531,53,Desert/Arid climate
532,53,Desert/Arid climate
533,53,Desert/Arid climate
534,2,Tropics lowland; semi-arid with soil/terrain limitations
535,2,Tropics lowland; semi-arid with soil/terrain limitations
536,2,Tropics lowland; semi-arid with soil/terrain limitations
537,1,Tropics lowland; semi-arid no soil/terrain limitations
538,2,Tropics lowland; semi-arid with soil/terrain limitations
539,2,Tropics lowland; semi-arid with soil/terrain limitations
540,56,Dominantly built-up land
541,53,Desert/Arid climate
542,56,Dominantly built-up land
543,53,Desert/Arid climate
544,53,Desert/Arid climate
545,2,Tropics lowland; semi-arid with soil/terrain limitations
546,53,Desert/Arid climate
547,53,Desert/Arid climate
548,53,Desert/Arid climate
549,53,Desert/Arid climate
550,53,Desert/Arid climate
551,56,Dominantly built-up land
552,56,Dominantly built-up land
553,56,Dominantly built-up land
