fid,region,departemen,com_arrt_v,commune,arrondisse,shape_leng,shape_area,superficie,censusname,geo1_sn2013,geo2_sn2013,geo3_sn2013,cell,chsurv,yrschool,migrated,emp_cat1,emp_cat2,emp_cat3,empd_cat1,empd_cat2,empd_cat3,empd_cat4,empd_cat5,empd_cat6,empd_cat7,empd_cat8,z_chsurv,z_yrschool,z_migrated,z_emp_cat1,kmg3,kmg4,kmg5,kmg6,kmg7,_merge
463,DAKAR,RUFISQUE,SANGALKAM,SANGALKAM,SANGALKAM,.36044028,.0044926088,53.519428,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
464,DAKAR,RUFISQUE,SANGALKAM,TIVAOUANE PEULH NIAGHA,SANGALKAM,.4422929,.0047857487,56.996574,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
192,DAKAR,KEUR MASSAR,JAXAAY,JAXAAY PARCELLES,JAXAAY,.10398193,.00042531674,5.0667872,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
40,DAKAR,RUFISQUE,DIAMNIADIO,YENNE,DIAMNIADIO,.27884746,.0034015407,40.544197,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
3,DAKAR,RUFISQUE,BARGNY,BARGNY,,.15604815,.0010827616,12.902536,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
114,DAKAR,RUFISQUE,DIAMNIADIO,SEBIKOTANE,DIAMNIADIO,.20147973,.001763182,21.007036,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
113,DAKAR,RUFISQUE,DIAMNIADIO,DIAMNIADIO,DIAMNIADIO,.48912317,.0058517577,69.723915,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
14,DAKAR,RUFISQUE,SENDOU,SENDOU,,.15153129,.00091432658,10.896402,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
193,DAKAR,KEUR MASSAR,JAXAAY,KEUR MASSAR SUD,JAXAAY,.10505462,.00046782458,5.5731177,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
41,KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BANDAFASSI,1.5082564,.057949014,696.53247,"bandafassi, kedougou, fongolembi",kedougou,kedougou,"bandafassi, kedougou, fongolembi",.70156914,3.4713032,2.5188205,.35053328,.30948734,.079512976,.61099964,.23788403,.23586525,.0054549826,.055143129,.12368599,.25382549,.0011780445,.011005337,-1.3402983,.28171995,1.8960123,.53126913,3,3,5,3,2,Matched (3)
